backend,job_id,depth,sector,initial,rep,raw_parity_leakage,mitigated_parity_leakage,delta_mitigated_minus_raw
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,4,even,0011,0,0.07373046875,0.03431764357182357,-0.03941282517817643
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,4,even,0011,1,0.09033203125,0.05235605320160885,-0.03797597804839115
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,4,even,0011,2,0.082763671875,0.04403754623669907,-0.03872612563830093
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,4,even,0011,3,0.083740234375,0.04535711251722133,-0.03838312185777867
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,4,even,0011,4,0.079345703125,0.040460545241840506,-0.038885157883159494
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,4,even,0011,5,0.0810546875,0.04277362675219608,-0.03828106074780392
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,4,even,0011,6,0.08154296875,0.042782422931931414,-0.038760545818068586
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,4,even,0011,7,0.07958984375,0.04206571772431937,-0.03752412602568063
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,4,even,0011,8,0.088623046875,0.050578881987509275,-0.038044164887490725
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,4,even,0011,9,0.083251953125,0.046521401656411256,-0.036730551468588744
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,4,even,0011,10,0.074462890625,0.036756263015384934,-0.037706627609615066
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,4,even,0011,11,0.08740234375,0.04922793368716788,-0.03817441006283212
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,4,odd,0001,0,0.078369140625,0.05800119320907415,-0.020367947415925847
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,4,odd,0001,1,0.088134765625,0.06827406153238004,-0.01986070409261996
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,4,odd,0001,2,0.08154296875,0.061268123945165266,-0.020274844804834734
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,4,odd,0001,3,0.07958984375,0.059268156760467594,-0.020321686989532406
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,4,odd,0001,4,0.088623046875,0.06886243186923942,-0.01976061500576058
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,4,odd,0001,5,0.08349609375,0.06345066471281627,-0.020045429037183732
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,4,odd,0001,6,0.0927734375,0.07308829923828196,-0.01968513826171804
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,4,odd,0001,7,0.080810546875,0.06061299955321357,-0.020197547321786427
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,4,odd,0001,8,0.084716796875,0.06470833965895376,-0.020008457216046244
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,4,odd,0001,9,0.080810546875,0.06054200598904465,-0.020268540885955352
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,4,odd,0001,10,0.086669921875,0.06672714256273524,-0.019942779312264763
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,4,odd,0001,11,0.0859375,0.06599370938217512,-0.019943790617824877
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,6,even,0011,0,0.107666015625,0.0757811626538151,-0.0318848529711849
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,6,even,0011,1,0.10888671875,0.07673427309693023,-0.03215244565306977
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,6,even,0011,2,0.107421875,0.07540089163640264,-0.03202098336359736
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,6,even,0011,3,0.107666015625,0.07565566448075844,-0.032010351144241556
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,6,even,0011,4,0.10498046875,0.07268613789851802,-0.03229433085148198
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,6,even,0011,5,0.100341796875,0.06755791233370151,-0.03278388454129849
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,6,even,0011,6,0.113037109375,0.08114924172818606,-0.031887867646813936
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,6,even,0011,7,0.09912109375,0.06646122425879084,-0.032659869491209165
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,6,even,0011,8,0.103271484375,0.07094233218462151,-0.03232915219037849
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,6,even,0011,9,0.100341796875,0.06759362680793463,-0.032748170067065374
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,6,even,0011,10,0.10693359375,0.0745678764143103,-0.0323657173356897
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,6,even,0011,11,0.1025390625,0.07027264849146939,-0.032266414008530614
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,6,odd,0001,0,0.1044921875,0.0838815269801885,-0.020610660519811502
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,6,odd,0001,1,0.101806640625,0.08125736175586565,-0.020549278869134352
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,6,odd,0001,2,0.100830078125,0.08004672122396106,-0.02078335690103894
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,6,odd,0001,3,0.109130859375,0.08872693780370651,-0.02040392157129349
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,6,odd,0001,4,0.104736328125,0.08403406247486093,-0.020702265650139065
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,6,odd,0001,5,0.100830078125,0.0799942476948257,-0.0208358304301743
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,6,odd,0001,6,0.1015625,0.08085794404862655,-0.02070455595137345
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,6,odd,0001,7,0.1005859375,0.0797021814674923,-0.020883756032507694
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,6,odd,0001,8,0.098388671875,0.07739503700200033,-0.02099363487299967
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,6,odd,0001,9,0.100830078125,0.08012860603589489,-0.02070147208910511
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,6,odd,0001,10,0.091796875,0.07045659194784859,-0.02134028305215141
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,6,odd,0001,11,0.102294921875,0.08147537241045819,-0.020819549464541814
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,8,even,0011,0,0.1220703125,0.09538183141405016,-0.026688481085949844
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,8,even,0011,1,0.1259765625,0.09980030537371959,-0.02617625712628041
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,8,even,0011,2,0.128173828125,0.10187447728362545,-0.026299350841374552
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,8,even,0011,3,0.122314453125,0.095585048615337,-0.026729404509663005
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,8,even,0011,4,0.124755859375,0.09809927929219477,-0.026656580082805234
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,8,even,0011,5,0.120361328125,0.0934407228817362,-0.026920605243263798
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,8,even,0011,6,0.127685546875,0.10142037518124776,-0.02626517169375224
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,8,even,0011,7,0.123046875,0.09647379252619796,-0.026573082473802037
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,8,even,0011,8,0.12255859375,0.09589520730452711,-0.026663386445472892
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,8,even,0011,9,0.123779296875,0.09734373932345682,-0.026435557551543185
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,8,even,0011,10,0.11572265625,0.08869365530576169,-0.02702900094423831
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,8,even,0011,11,0.120849609375,0.09416997077730464,-0.026679638597695357
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,8,odd,0001,0,0.12890625,0.10589200149968163,-0.02301424850031837
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,8,odd,0001,1,0.12890625,0.10626154576561969,-0.02264470423438031
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,8,odd,0001,2,0.129150390625,0.10660685922838088,-0.022543531396619118
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,8,odd,0001,3,0.128662109375,0.10585307507975077,-0.022809034295249234
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,8,odd,0001,4,0.117431640625,0.09402340800733842,-0.023408232617661576
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,8,odd,0001,5,0.11181640625,0.08799531566987448,-0.02382109058012552
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,8,odd,0001,6,0.12353515625,0.10038143324919148,-0.02315372300080852
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,8,odd,0001,7,0.114990234375,0.09106393596189469,-0.023926298413105312
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,8,odd,0001,8,0.121337890625,0.09792198790326362,-0.02341590272173638
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,8,odd,0001,9,0.136962890625,0.11467220592191837,-0.022290684703081626
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,8,odd,0001,10,0.123046875,0.09985995731097429,-0.023186917689025713
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,8,odd,0001,11,0.114501953125,0.09064687012381462,-0.023855083001185384
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,10,even,0011,0,0.128173828125,0.10486515188243974,-0.023308676242560264
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,10,even,0011,1,0.139404296875,0.11686620738911022,-0.022538089485889784
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,10,even,0011,2,0.133056640625,0.11002030913515913,-0.02303633148984087
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,10,even,0011,3,0.133056640625,0.11035653288708056,-0.022700107737919445
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,10,even,0011,4,0.148193359375,0.12650284355399757,-0.021690515821002426
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,10,even,0011,5,0.134033203125,0.11109163617884679,-0.022941566946153208
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,10,even,0011,6,0.13525390625,0.11257923397380999,-0.022674672276190008
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,10,even,0011,7,0.126220703125,0.1029030506135997,-0.023317652511400305
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,10,even,0011,8,0.135009765625,0.11219021254469635,-0.022819553080303645
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,10,even,0011,9,0.137451171875,0.1148438591622919,-0.022607312712708105
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,10,even,0011,10,0.1240234375,0.10042796500647991,-0.023595472493520092
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,10,even,0011,11,0.129150390625,0.10602582182123661,-0.023124568803763387
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,10,odd,0001,0,0.142822265625,0.11730123579161647,-0.02552102983338353
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,10,odd,0001,1,0.139404296875,0.11336872731090678,-0.026035569564093225
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,10,odd,0001,2,0.14111328125,0.11533458636165567,-0.025778694888344333
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,10,odd,0001,3,0.1376953125,0.11164894165853063,-0.026046370841469366
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,10,odd,0001,4,0.128173828125,0.10145260082315631,-0.02672122730184369
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,10,odd,0001,5,0.140380859375,0.11474226988383966,-0.025638589491160338
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,10,odd,0001,6,0.142333984375,0.11677149635451102,-0.02556248802048898
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,10,odd,0001,7,0.135986328125,0.10982517269360094,-0.02616115543139906
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,10,odd,0001,8,0.135498046875,0.1093788985023287,-0.026119148372671305
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,10,odd,0001,9,0.135498046875,0.1091468692999348,-0.026351177575065193
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,10,odd,0001,10,0.125244140625,0.0985447608184355,-0.026699379806564505
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,10,odd,0001,11,0.1396484375,0.11375764234292643,-0.02589079515707357
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,14,even,0011,0,0.16845703125,0.14925170092482054,-0.01920533032517946
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,14,even,0011,1,0.163818359375,0.14421650442022632,-0.01960185495477368
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,14,even,0011,2,0.166015625,0.1465614126299358,-0.0194542123700642
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,14,even,0011,3,0.17138671875,0.15241452547060985,-0.018972193279390148
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,14,even,0011,4,0.170166015625,0.1509268626828057,-0.019239152942194304
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,14,even,0011,5,0.159912109375,0.14008235750594622,-0.01982975186905378
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,14,even,0011,6,0.153076171875,0.13288678241847368,-0.02018938945652632
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,14,even,0011,7,0.155517578125,0.1354553116933772,-0.02006226643162279
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,14,even,0011,8,0.159912109375,0.13987126550821066,-0.020040843866789337
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,14,even,0011,9,0.16552734375,0.14614627435844416,-0.019381069391555844
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,14,even,0011,10,0.156005859375,0.1359507916466243,-0.020055067728375703
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,14,even,0011,11,0.167724609375,0.14849756540476128,-0.019227043970238722
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,14,odd,0001,0,0.178955078125,0.15328231887269234,-0.025672759252307664
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,14,odd,0001,1,0.17529296875,0.14941467152594617,-0.025878297224053826
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,14,odd,0001,2,0.17626953125,0.1503274753888704,-0.025942055861129604
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,14,odd,0001,3,0.179443359375,0.15376704472845418,-0.025676314646545823
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,14,odd,0001,4,0.173583984375,0.14756754165652364,-0.026016442718476362
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,14,odd,0001,5,0.185546875,0.16044054346467,-0.025106331535330012
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,14,odd,0001,6,0.175537109375,0.14963367895066354,-0.02590343042433646
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,14,odd,0001,7,0.174560546875,0.14865213480738573,-0.025908412067614267
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,14,odd,0001,8,0.176513671875,0.1506127400597213,-0.025900931815278694
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,14,odd,0001,9,0.17041015625,0.14411278020702856,-0.026297376042971443
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,14,odd,0001,10,0.1669921875,0.1404158677716219,-0.026576319728378095
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,14,odd,0001,11,0.181640625,0.1562724471991559,-0.025368177800844105
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,20,even,0011,0,0.19873046875,0.17875913580680627,-0.019971332943193726
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,20,even,0011,1,0.193359375,0.17336408745752682,-0.019995287542473178
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,20,even,0011,2,0.199462890625,0.17990270808851508,-0.01956018253648492
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,20,even,0011,3,0.207275390625,0.18804080424494057,-0.019234586380059426
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,20,even,0011,4,0.189453125,0.16921974627981423,-0.02023337872018577
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,20,even,0011,5,0.18896484375,0.1681722731374704,-0.020792570612529593
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,20,even,0011,6,0.201416015625,0.1817113332507314,-0.01970468237426859
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,20,even,0011,7,0.199951171875,0.18041251887810855,-0.019538652996891448
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,20,even,0011,8,0.209716796875,0.19087728620300834,-0.01883951067199166
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,20,even,0011,9,0.210693359375,0.1915948121991597,-0.019098547175840308
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,20,even,0011,10,0.19775390625,0.17756819894506287,-0.02018570730493713
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,20,even,0011,11,0.1884765625,0.16779850434755295,-0.020678058152447054
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,20,odd,0001,0,0.207275390625,0.18978616275768023,-0.017489227867319768
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,20,odd,0001,1,0.21484375,0.19767604112387643,-0.017167708876123566
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,20,odd,0001,2,0.202392578125,0.18459507042902068,-0.01779750769597932
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,20,odd,0001,3,0.212646484375,0.19548564581550343,-0.017160838559496572
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,20,odd,0001,4,0.219482421875,0.2029263733868999,-0.016556048488100106
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,20,odd,0001,5,0.20703125,0.1896677762845301,-0.017363473715469896
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,20,odd,0001,6,0.20556640625,0.18809087175014325,-0.017475534499856754
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,20,odd,0001,7,0.199462890625,0.18149237159588577,-0.01797051902911423
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,20,odd,0001,8,0.19873046875,0.18065222118462865,-0.018078247565371353
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,20,odd,0001,9,0.199951171875,0.18210577234533293,-0.017845399529667072
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,20,odd,0001,10,0.20166015625,0.18399380008895927,-0.01766635616104073
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,20,odd,0001,11,0.20166015625,0.18390209740303667,-0.017758058846963326
