protocol_id,n_qubits,baseline,required,status,reason,max_qubits,estimated_statevector_bytes,estimated_dense_matrix_bytes,claim_boundary
s2_quantum_advantage_scaling_2026-05-06,4,classical_ode,True,measured_lite,already covered by the S2 lite rehearsal artefacts,20,256,4096,Classical oscillator ODE baseline; not a Hilbert-space solver.
s2_quantum_advantage_scaling_2026-05-06,4,dense_eigh,True,measured_lite,already covered by the S2 lite rehearsal artefacts,14,256,4096,Dense exact diagonalisation is skipped by memory gate above its cap.
s2_quantum_advantage_scaling_2026-05-06,4,sparse_eigsh,True,measured_lite,already covered by the S2 lite rehearsal artefacts,20,256,4096,Sparse eigensolver timing is not equivalent to full dynamics.
s2_quantum_advantage_scaling_2026-05-06,4,mps_tensor_network,True,measured_lite,already covered by the S2 lite rehearsal artefacts,20,256,4096,MPS results bound classical spoofability; low entanglement weakens advantage claims.
s2_quantum_advantage_scaling_2026-05-06,4,gpu_dense_reference,False,ready_optional_gpu,CUDA-capable host can run this optional classical-validation row,13,256,4096,"GPU dense timings are classical-validation support, not a quantum baseline."
s2_quantum_advantage_scaling_2026-05-06,4,aer_statevector,True,measured_lite,already covered by the S2 lite rehearsal artefacts,20,256,4096,"Aer statevector is a simulator baseline, not hardware evidence."
s2_quantum_advantage_scaling_2026-05-06,4,qpu_hardware,False,blocked_optional_hardware,"requires preregistered hardware campaign, live transpilation, raw-count storage, and explicit QPU approval",8,256,4096,Hardware column is evidence only for submitted preregistered sizes; absence of IBM credits must degrade gracefully without broad advantage claims.
s2_quantum_advantage_scaling_2026-05-06,6,classical_ode,True,measured_lite,already covered by the S2 lite rehearsal artefacts,20,1024,65536,Classical oscillator ODE baseline; not a Hilbert-space solver.
s2_quantum_advantage_scaling_2026-05-06,6,dense_eigh,True,measured_lite,already covered by the S2 lite rehearsal artefacts,14,1024,65536,Dense exact diagonalisation is skipped by memory gate above its cap.
s2_quantum_advantage_scaling_2026-05-06,6,sparse_eigsh,True,measured_lite,already covered by the S2 lite rehearsal artefacts,20,1024,65536,Sparse eigensolver timing is not equivalent to full dynamics.
s2_quantum_advantage_scaling_2026-05-06,6,mps_tensor_network,True,measured_lite,already covered by the S2 lite rehearsal artefacts,20,1024,65536,MPS results bound classical spoofability; low entanglement weakens advantage claims.
s2_quantum_advantage_scaling_2026-05-06,6,gpu_dense_reference,False,ready_optional_gpu,CUDA-capable host can run this optional classical-validation row,13,1024,65536,"GPU dense timings are classical-validation support, not a quantum baseline."
s2_quantum_advantage_scaling_2026-05-06,6,aer_statevector,True,measured_lite,already covered by the S2 lite rehearsal artefacts,20,1024,65536,"Aer statevector is a simulator baseline, not hardware evidence."
s2_quantum_advantage_scaling_2026-05-06,6,qpu_hardware,False,blocked_optional_hardware,"requires preregistered hardware campaign, live transpilation, raw-count storage, and explicit QPU approval",8,1024,65536,Hardware column is evidence only for submitted preregistered sizes; absence of IBM credits must degrade gracefully without broad advantage claims.
s2_quantum_advantage_scaling_2026-05-06,8,classical_ode,True,ready_full_campaign,requires deliberate full-campaign execution,20,4096,1048576,Classical oscillator ODE baseline; not a Hilbert-space solver.
s2_quantum_advantage_scaling_2026-05-06,8,dense_eigh,True,ready_full_campaign,requires deliberate full-campaign execution,14,4096,1048576,Dense exact diagonalisation is skipped by memory gate above its cap.
s2_quantum_advantage_scaling_2026-05-06,8,sparse_eigsh,True,ready_full_campaign,requires deliberate full-campaign execution,20,4096,1048576,Sparse eigensolver timing is not equivalent to full dynamics.
s2_quantum_advantage_scaling_2026-05-06,8,mps_tensor_network,True,ready_full_campaign,requires deliberate full-campaign execution,20,4096,1048576,MPS results bound classical spoofability; low entanglement weakens advantage claims.
s2_quantum_advantage_scaling_2026-05-06,8,gpu_dense_reference,False,ready_optional_gpu,CUDA-capable host can run this optional classical-validation row,13,4096,1048576,"GPU dense timings are classical-validation support, not a quantum baseline."
s2_quantum_advantage_scaling_2026-05-06,8,aer_statevector,True,ready_full_campaign,requires deliberate full-campaign execution,20,4096,1048576,"Aer statevector is a simulator baseline, not hardware evidence."
s2_quantum_advantage_scaling_2026-05-06,8,qpu_hardware,False,blocked_optional_hardware,"requires preregistered hardware campaign, live transpilation, raw-count storage, and explicit QPU approval",8,4096,1048576,Hardware column is evidence only for submitted preregistered sizes; absence of IBM credits must degrade gracefully without broad advantage claims.
s2_quantum_advantage_scaling_2026-05-06,10,classical_ode,True,ready_full_campaign,requires deliberate full-campaign execution,20,16384,16777216,Classical oscillator ODE baseline; not a Hilbert-space solver.
s2_quantum_advantage_scaling_2026-05-06,10,dense_eigh,True,ready_full_campaign,requires deliberate full-campaign execution,14,16384,16777216,Dense exact diagonalisation is skipped by memory gate above its cap.
s2_quantum_advantage_scaling_2026-05-06,10,sparse_eigsh,True,ready_full_campaign,requires deliberate full-campaign execution,20,16384,16777216,Sparse eigensolver timing is not equivalent to full dynamics.
s2_quantum_advantage_scaling_2026-05-06,10,mps_tensor_network,True,ready_full_campaign,requires deliberate full-campaign execution,20,16384,16777216,MPS results bound classical spoofability; low entanglement weakens advantage claims.
s2_quantum_advantage_scaling_2026-05-06,10,gpu_dense_reference,False,ready_optional_gpu,CUDA-capable host can run this optional classical-validation row,13,16384,16777216,"GPU dense timings are classical-validation support, not a quantum baseline."
s2_quantum_advantage_scaling_2026-05-06,10,aer_statevector,True,ready_full_campaign,requires deliberate full-campaign execution,20,16384,16777216,"Aer statevector is a simulator baseline, not hardware evidence."
s2_quantum_advantage_scaling_2026-05-06,10,qpu_hardware,False,blocked_optional_hardware,"requires preregistered hardware campaign, live transpilation, raw-count storage, and explicit QPU approval",8,16384,16777216,Hardware column is evidence only for submitted preregistered sizes; absence of IBM credits must degrade gracefully without broad advantage claims.
s2_quantum_advantage_scaling_2026-05-06,12,classical_ode,True,ready_full_campaign,requires deliberate full-campaign execution,20,65536,268435456,Classical oscillator ODE baseline; not a Hilbert-space solver.
s2_quantum_advantage_scaling_2026-05-06,12,dense_eigh,True,ready_full_campaign,requires deliberate full-campaign execution,14,65536,268435456,Dense exact diagonalisation is skipped by memory gate above its cap.
s2_quantum_advantage_scaling_2026-05-06,12,sparse_eigsh,True,ready_full_campaign,requires deliberate full-campaign execution,20,65536,268435456,Sparse eigensolver timing is not equivalent to full dynamics.
s2_quantum_advantage_scaling_2026-05-06,12,mps_tensor_network,True,ready_full_campaign,requires deliberate full-campaign execution,20,65536,268435456,MPS results bound classical spoofability; low entanglement weakens advantage claims.
s2_quantum_advantage_scaling_2026-05-06,12,gpu_dense_reference,False,ready_optional_gpu,CUDA-capable host can run this optional classical-validation row,13,65536,268435456,"GPU dense timings are classical-validation support, not a quantum baseline."
s2_quantum_advantage_scaling_2026-05-06,12,aer_statevector,True,ready_full_campaign,requires deliberate full-campaign execution,20,65536,268435456,"Aer statevector is a simulator baseline, not hardware evidence."
s2_quantum_advantage_scaling_2026-05-06,12,qpu_hardware,False,blocked_optional_hardware,"requires preregistered hardware campaign, live transpilation, raw-count storage, and explicit QPU approval",8,65536,268435456,Hardware column is evidence only for submitted preregistered sizes; absence of IBM credits must degrade gracefully without broad advantage claims.
s2_quantum_advantage_scaling_2026-05-06,14,classical_ode,True,ready_full_campaign,requires deliberate full-campaign execution,20,262144,4294967296,Classical oscillator ODE baseline; not a Hilbert-space solver.
s2_quantum_advantage_scaling_2026-05-06,14,dense_eigh,True,ready_full_campaign,requires deliberate full-campaign execution,14,262144,4294967296,Dense exact diagonalisation is skipped by memory gate above its cap.
s2_quantum_advantage_scaling_2026-05-06,14,sparse_eigsh,True,ready_full_campaign,requires deliberate full-campaign execution,20,262144,4294967296,Sparse eigensolver timing is not equivalent to full dynamics.
s2_quantum_advantage_scaling_2026-05-06,14,mps_tensor_network,True,ready_full_campaign,requires deliberate full-campaign execution,20,262144,4294967296,MPS results bound classical spoofability; low entanglement weakens advantage claims.
s2_quantum_advantage_scaling_2026-05-06,14,gpu_dense_reference,False,size_gated_optional,above optional GPU dense reference cap,13,262144,4294967296,"GPU dense timings are classical-validation support, not a quantum baseline."
s2_quantum_advantage_scaling_2026-05-06,14,aer_statevector,True,ready_full_campaign,requires deliberate full-campaign execution,20,262144,4294967296,"Aer statevector is a simulator baseline, not hardware evidence."
s2_quantum_advantage_scaling_2026-05-06,14,qpu_hardware,False,blocked_optional_hardware,"requires preregistered hardware campaign, live transpilation, raw-count storage, and explicit QPU approval",8,262144,4294967296,Hardware column is evidence only for submitted preregistered sizes; absence of IBM credits must degrade gracefully without broad advantage claims.
s2_quantum_advantage_scaling_2026-05-06,16,classical_ode,True,ready_full_campaign,requires deliberate full-campaign execution,20,1048576,68719476736,Classical oscillator ODE baseline; not a Hilbert-space solver.
s2_quantum_advantage_scaling_2026-05-06,16,dense_eigh,True,size_gated,above preregistered cap n=14,14,1048576,68719476736,Dense exact diagonalisation is skipped by memory gate above its cap.
s2_quantum_advantage_scaling_2026-05-06,16,sparse_eigsh,True,ready_full_campaign,requires deliberate full-campaign execution,20,1048576,68719476736,Sparse eigensolver timing is not equivalent to full dynamics.
s2_quantum_advantage_scaling_2026-05-06,16,mps_tensor_network,True,ready_full_campaign,requires deliberate full-campaign execution,20,1048576,68719476736,MPS results bound classical spoofability; low entanglement weakens advantage claims.
s2_quantum_advantage_scaling_2026-05-06,16,gpu_dense_reference,False,size_gated_optional,above optional GPU dense reference cap,13,1048576,68719476736,"GPU dense timings are classical-validation support, not a quantum baseline."
s2_quantum_advantage_scaling_2026-05-06,16,aer_statevector,True,ready_full_campaign,requires deliberate full-campaign execution,20,1048576,68719476736,"Aer statevector is a simulator baseline, not hardware evidence."
s2_quantum_advantage_scaling_2026-05-06,16,qpu_hardware,False,blocked_optional_hardware,"requires preregistered hardware campaign, live transpilation, raw-count storage, and explicit QPU approval",8,1048576,68719476736,Hardware column is evidence only for submitted preregistered sizes; absence of IBM credits must degrade gracefully without broad advantage claims.
s2_quantum_advantage_scaling_2026-05-06,18,classical_ode,True,ready_full_campaign,requires deliberate full-campaign execution,20,4194304,1099511627776,Classical oscillator ODE baseline; not a Hilbert-space solver.
s2_quantum_advantage_scaling_2026-05-06,18,dense_eigh,True,size_gated,above preregistered cap n=14,14,4194304,1099511627776,Dense exact diagonalisation is skipped by memory gate above its cap.
s2_quantum_advantage_scaling_2026-05-06,18,sparse_eigsh,True,ready_full_campaign,requires deliberate full-campaign execution,20,4194304,1099511627776,Sparse eigensolver timing is not equivalent to full dynamics.
s2_quantum_advantage_scaling_2026-05-06,18,mps_tensor_network,True,ready_full_campaign,requires deliberate full-campaign execution,20,4194304,1099511627776,MPS results bound classical spoofability; low entanglement weakens advantage claims.
s2_quantum_advantage_scaling_2026-05-06,18,gpu_dense_reference,False,size_gated_optional,above optional GPU dense reference cap,13,4194304,1099511627776,"GPU dense timings are classical-validation support, not a quantum baseline."
s2_quantum_advantage_scaling_2026-05-06,18,aer_statevector,True,ready_full_campaign,requires deliberate full-campaign execution,20,4194304,1099511627776,"Aer statevector is a simulator baseline, not hardware evidence."
s2_quantum_advantage_scaling_2026-05-06,18,qpu_hardware,False,blocked_optional_hardware,"requires preregistered hardware campaign, live transpilation, raw-count storage, and explicit QPU approval",8,4194304,1099511627776,Hardware column is evidence only for submitted preregistered sizes; absence of IBM credits must degrade gracefully without broad advantage claims.
s2_quantum_advantage_scaling_2026-05-06,20,classical_ode,True,ready_full_campaign,requires deliberate full-campaign execution,20,16777216,17592186044416,Classical oscillator ODE baseline; not a Hilbert-space solver.
s2_quantum_advantage_scaling_2026-05-06,20,dense_eigh,True,size_gated,above preregistered cap n=14,14,16777216,17592186044416,Dense exact diagonalisation is skipped by memory gate above its cap.
s2_quantum_advantage_scaling_2026-05-06,20,sparse_eigsh,True,ready_full_campaign,requires deliberate full-campaign execution,20,16777216,17592186044416,Sparse eigensolver timing is not equivalent to full dynamics.
s2_quantum_advantage_scaling_2026-05-06,20,mps_tensor_network,True,ready_full_campaign,requires deliberate full-campaign execution,20,16777216,17592186044416,MPS results bound classical spoofability; low entanglement weakens advantage claims.
s2_quantum_advantage_scaling_2026-05-06,20,gpu_dense_reference,False,size_gated_optional,above optional GPU dense reference cap,13,16777216,17592186044416,"GPU dense timings are classical-validation support, not a quantum baseline."
s2_quantum_advantage_scaling_2026-05-06,20,aer_statevector,True,ready_full_campaign,requires deliberate full-campaign execution,20,16777216,17592186044416,"Aer statevector is a simulator baseline, not hardware evidence."
s2_quantum_advantage_scaling_2026-05-06,20,qpu_hardware,False,blocked_optional_hardware,"requires preregistered hardware campaign, live transpilation, raw-count storage, and explicit QPU approval",8,16777216,17592186044416,Hardware column is evidence only for submitted preregistered sizes; absence of IBM credits must degrade gracefully without broad advantage claims.
